Filename,Label,Blood pressure cuff laterality,Inflation (mmHg),Comments
Group 2,1,none,78,
Group 2,2,left,13,
Group 2,2,left,88,
Group 2,1,none,63,
Group 2,2,left,81,
Group 2,3,right,87,
Group 2,2,left,32,
Group 2,1,none,57,
Group 2,1,none,90,
Group 2,2,left,79,
Group 2,3,right,77,
Group 2,1,none,48,
Group 2,1,none,51,
Group 2,2,left,65,
Group 2,3,right,77,
Group 2,1,none,93,
Group 2,3,right,73,
Group 2,2,left,26,
Group 2,2,left,16,
Group 2,2,left,86,
Group 2,3,right,60,
Group 2,2,left,16,
Group 2,1,none,35,
Group 2,3,right,30,
Group 2,2,left,35,
Group 2,3,right,32,
Group 2,3,right,89,
Group 2,2,left,27,
Group 2,3,right,21,
Group 2,2,left,14,
Group 2,3,right,80,
Group 2,2,left,40,
Group 2,3,right,23,
Group 2,3,right,28,
Group 2,2,left,19,
Group 2,1,none,66,
Group 2,3,right,53,
Group 2,1,none,68,
Group 2,2,left,70,
Group 2,3,right,21,
Group 2,3,right,47,
Group 2,2,left,49,
Group 2,2,left,69,
Group 2,3,right,43,
Group 2,2,left,100,
Group 2,2,left,48,
Group 2,2,left,75,
Group 2,1,none,58,
Group 2,2,left,62,
Group 2,2,left,91,
Group 2,1,none,87,
Group 2,1,none,19,
Group 2,2,left,35,
Group 2,2,left,100,
Group 2,3,right,9,
Group 2,1,none,89,
Group 2,3,right,42,
Group 2,1,none,95,
Group 2,2,left,53,
Group 2,1,none,75,
Group 2,2,left,35,
Group 2,1,none,81,
Group 2,1,none,41,
Group 2,1,none,62,
Group 2,3,right,5,
Group 2,2,left,25,
Group 2,3,right,81,
Group 2,2,left,87,
Group 2,3,right,36,
Group 2,1,none,1,
Group 2,3,right,69,
Group 2,2,left,60,
Group 2,2,left,29,
Group 2,1,none,57,
Group 2,3,right,83,
Group 2,2,left,43,
Group 2,2,left,76,
Group 2,2,left,80,
Group 2,1,none,96,
Group 2,3,right,24,
Group 2,3,right,53,
Group 2,2,left,76,
Group 2,3,right,49,
Group 2,1,none,43,
Group 2,3,right,72,
Group 2,3,right,12,
Group 2,3,right,34,
Group 2,1,none,77,
Group 2,3,right,92,
Group 2,3,right,46,
Group 2,3,right,10,
Group 2,1,none,64,
Group 2,3,right,46,
Group 2,3,right,54,
Group 2,1,none,19,
Group 2,1,none,49,
Group 2,2,left,94,
Group 2,3,right,25,
Group 2,1,none,50,
Group 2,3,right,23,
