Filename,Label,Blood pressure cuff laterality,Inflation (mmHg),Comments
Group 2,1,none,3,
Group 2,1,none,89,
Group 2,3,right,68,
Group 2,1,none,43,
Group 2,3,right,65,
Group 2,3,right,26,
Group 2,1,none,72,
Group 2,2,left,58,
Group 2,2,left,96,
Group 2,1,none,10,
Group 2,3,right,72,
Group 2,1,none,86,
Group 2,3,right,62,
Group 2,1,none,6,
Group 2,2,left,30,
Group 2,2,left,76,
Group 2,3,right,59,
Group 2,2,left,21,
Group 2,1,none,99,
Group 2,2,left,65,
Group 2,1,none,94,
Group 2,3,right,64,
Group 2,2,left,60,
Group 2,3,right,65,
Group 2,2,left,100,
Group 2,3,right,84,
Group 2,2,left,72,
Group 2,2,left,94,
Group 2,1,none,30,
Group 2,3,right,2,
Group 2,2,left,28,
Group 2,1,none,80,
Group 2,1,none,45,
Group 2,1,none,78,
Group 2,2,left,17,
Group 2,3,right,58,
Group 2,3,right,51,
Group 2,1,none,28,
Group 2,1,none,92,
Group 2,1,none,65,
Group 2,1,none,42,
Group 2,3,right,11,
Group 2,1,none,31,
Group 2,3,right,51,
Group 2,2,left,12,
Group 2,2,left,52,
Group 2,1,none,80,
Group 2,3,right,86,
Group 2,2,left,33,
Group 2,3,right,2,
Group 2,3,right,25,
Group 2,2,left,59,
Group 2,2,left,52,
Group 2,1,none,50,
Group 2,2,left,36,
Group 2,3,right,60,
Group 2,2,left,1,
Group 2,2,left,26,
Group 2,1,none,40,
Group 2,3,right,56,
Group 2,1,none,37,
Group 2,2,left,19,
Group 2,2,left,58,
Group 2,1,none,74,
Group 2,1,none,65,
Group 2,2,left,27,
Group 2,3,right,3,
Group 2,1,none,86,
Group 2,2,left,21,
Group 2,2,left,46,
Group 2,3,right,31,
Group 2,3,right,25,
Group 2,3,right,63,
Group 2,1,none,28,
Group 2,3,right,64,
Group 2,3,right,60,
Group 2,2,left,28,
Group 2,3,right,96,
Group 2,2,left,89,
Group 2,1,none,71,
Group 2,3,right,62,
Group 2,1,none,83,
Group 2,1,none,66,
Group 2,3,right,10,
Group 2,2,left,28,
Group 2,2,left,37,
Group 2,3,right,56,
Group 2,2,left,3,
Group 2,1,none,87,
Group 2,2,left,49,
Group 2,1,none,15,
Group 2,3,right,75,
Group 2,2,left,39,
Group 2,1,none,35,
Group 2,1,none,94,
Group 2,1,none,4,
Group 2,1,none,85,
Group 2,3,right,29,
Group 2,2,left,42,
Group 2,2,left,66,
