Filename,Label,Blood pressure cuff laterality,Inflation (mmHg),Comments
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
Group 1,1,none,,
Group 1,2,left,60,
Group 1,3,right,60,
