Filename,Label,Blood pressure cuff laterality,Inflation (mmHg),Comments
session_2021-06-28-17_43_10,1,none,,
session_2021-06-28-17_44_26,2,left,60,
session_2021-06-28-17_45_55,1,none,,
session_2021-06-28-17_47_03,2,left,60,
session_2021-06-28-17_50_06,1,none,,
session_2021-06-28-17_51_17,3,right,60,
session_2021-06-28-17_52_22,1,none,,
session_2021-06-28-17_56_16,3,right,60,
session_2021-06-28-17_57_27,1,none,,
session_2021-06-28-21_37_46,1,none,,
session_2021-06-28-21_40_11,1,none,,
session_2021-06-28-21_43_21,2,left,60,
session_2021-06-28-21_44_21,2,left,60,
session_2021-06-28-21_45_25,2,left,8,
session_2021-06-28-21_46_21,1,none,,
session_2021-06-28-21_47_59,1,none,,
session_2021-06-28-21_50_01,1,none,,
session_2021-06-28-21_51_04,3,right,60,
session_2021-06-28-21_54_19,3,right,60,
session_2021-06-28-21_55_21,1,none,,
session_2021-06-28-21_56_20,3,right,60,
session_2021-06-28-21_57_23,1,none,,
session_2021-06-28-21_58_23,1,none,,
session_2021-06-29-08_24_02,1,none,,
session_2021-06-29-08_25_10,2,left,70,
session_2021-06-29-08_27_11,1,none,,
session_2021-06-29-20_06_51,1,none,,
session_2021-06-29-20_08_31,2,left,70,
session_2021-06-29-20_09_40,1,none,,
session_2021-06-29-20_11_21,2,left,70,
session_2021-06-29-20_12_31,1,none,,
session_2021-06-29-22_15_53,1,none,,
session_2021-06-29-22_17_56,1,none,,
session_2021-06-29-22_19_19,1,none,,
session_2021-06-29-22_22_10,2,left,70,
session_2021-06-29-22_23_10,1,none,,
session_2021-06-29-22_24_14,2,left,70,
session_2021-06-29-22_26_44,2,left,70,
session_2021-06-29-22_27_44,1,none,,
session_2021-06-29-22_29_03,1,none,,
session_2021-06-29-22_35_49,3,right,70,
session_2021-06-29-22_37_01,3,right,70,
session_2021-06-29-22_39_33,3,right,50,
session_2021-06-29-22_42_47,3,right,60,
session_2021-06-29-22_43_51,3,right,50,
session_2021-06-29-22_45_06,3,right,80,
session_2021-06-29-22_49_16,1,none,,
